"","Country","Category","Year","n_3","n_2","n_1","n_0"
"287","belgium","FA",1991,1,1,NA,NA
"288","belgium","Other",2027,3,1,NA,NA
"289","belgium","Tax",2027,1,NA,NA,NA
"290","belgium","Other",2028,1,NA,NA,NA
"291","bulgaria","Audit",1992,0,0,0,0
"292","bulgaria","Audit",1993,0,0,0,0
"293","bulgaria","Audit",1994,0,0,0,0
"294","bulgaria","Audit",1995,0,0,0,0
"295","bulgaria","Audit",1996,0,0,0,0
"296","bulgaria","Audit",1997,0,0,0,0
"297","bulgaria","Audit",1998,0,0,0,0
"298","bulgaria","Audit",1999,0,0,0,0
"299","bulgaria","Audit",2000,0,0,0,0
"300","bulgaria","Audit",2001,0,0,0,0
"301","bulgaria","Audit",2002,0,0,0,0
"302","bulgaria","Audit",2003,0,0,0,0
"303","bulgaria","Audit",2004,0,0,0,0
"304","bulgaria","Audit",2005,1,0,0,0
"305","bulgaria","Audit",2006,1,1,0,0
"306","bulgaria","Audit",2007,1,1,1,0
"307","bulgaria","Audit",2008,1,1,1,1
"308","bulgaria","Audit",2009,1,1,1,0
"309","bulgaria","Audit",2010,1,1,0,0
"310","bulgaria","Audit",2011,1,0,0,0
"311","bulgaria","Audit",2012,0,0,0,0
"312","bulgaria","Audit",2013,2,0,0,0
"313","bulgaria","Audit",2014,2,2,0,0
"314","bulgaria","Audit",2015,2,2,2,0
"315","bulgaria","Audit",2016,2,2,2,2
"316","bulgaria","Audit",2017,2,2,2,0
"317","bulgaria","Audit",2018,2,2,0,0
"318","bulgaria","Audit",2019,2,0,0,0
"319","bulgaria","Audit",2020,0,0,0,0
"320","bulgaria","Audit",2021,0,0,0,0
"321","bulgaria","Audit",2022,0,0,0,0
"322","bulgaria","Audit",2023,0,0,0,0
"323","bulgaria","Audit",2024,0,0,0,0
"324","bulgaria","Audit",2025,0,0,0,0
"325","bulgaria","Audit",2026,0,0,0,0
"326","bulgaria","FA",1992,0,0,0,0
"327","bulgaria","FA",1993,0,0,0,0
"328","bulgaria","FA",1994,0,0,0,0
"329","bulgaria","FA",1995,0,0,0,0
"330","bulgaria","FA",1996,0,0,0,0
"331","bulgaria","FA",1997,0,0,0,0
